method,split,seed,success,success_ci95,side_effect_violation,side_effect_violation_ci95,preference_regret,preference_regret_ci95,side_effect_recall,side_effect_recall_ci95,false_alarm,false_alarm_ci95,query_cost,query_cost_ci95,damage_rate,damage_rate_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups,regret_to_oracle
proposed_side_effect_preference_model,unseen_object,1,0.615,0.0191,0.0431,0.0053,0.0636,0.0019,0.6234,0.0036,0.0766,0.0013,0.2154,0.0011,0.0434,0.0035,0.6422,0.0024,35,0.0976
proposed_side_effect_preference_model,unseen_object,2,0.6272,0.0211,0.0428,0.0048,0.0635,0.002,0.6213,0.0032,0.0785,0.0014,0.2154,0.0011,0.0417,0.0029,0.6401,0.0025,35,0.0772
proposed_side_effect_preference_model,unseen_object,3,0.6095,0.0209,0.0432,0.005,0.0655,0.002,0.6225,0.0035,0.0779,0.0016,0.2154,0.0011,0.0419,0.0036,0.6399,0.0027,35,0.0997
proposed_side_effect_preference_model,unseen_object,4,0.6361,0.018,0.0416,0.0047,0.0633,0.002,0.6265,0.0031,0.0776,0.0015,0.2154,0.0011,0.0414,0.003,0.641,0.0024,35,0.0823
proposed_side_effect_preference_model,unseen_object,5,0.6364,0.0191,0.0422,0.0049,0.0639,0.0021,0.6221,0.0034,0.0777,0.0012,0.2154,0.0011,0.0423,0.0032,0.6422,0.0028,35,0.0643
proposed_side_effect_preference_model,unseen_object,6,0.6129,0.0158,0.043,0.0049,0.065,0.0024,0.6248,0.0033,0.0771,0.0011,0.2154,0.0011,0.0436,0.0034,0.6412,0.0026,35,0.0827
proposed_side_effect_preference_model,unseen_side_effect,0,0.6007,0.017,0.043,0.0049,0.0641,0.0021,0.6024,0.0035,0.082,0.0014,0.2197,0.0012,0.0457,0.0036,0.6372,0.0024,35,0.0762
proposed_side_effect_preference_model,unseen_side_effect,1,0.5986,0.0205,0.0437,0.0046,0.0646,0.002,0.6023,0.0034,0.0793,0.0014,0.2197,0.0012,0.046,0.0039,0.6372,0.0023,35,0.0793
proposed_side_effect_preference_model,unseen_side_effect,2,0.5799,0.018,0.043,0.005,0.0646,0.0021,0.6025,0.004,0.0811,0.0012,0.2197,0.0012,0.0449,0.0041,0.6337,0.0022,35,0.1187
proposed_side_effect_preference_model,unseen_side_effect,3,0.5969,0.0185,0.0439,0.0047,0.0632,0.0022,0.5988,0.0026,0.0794,0.0012,0.2197,0.0012,0.0453,0.0038,0.6362,0.0026,35,0.0898
proposed_side_effect_preference_model,unseen_side_effect,4,0.6075,0.0203,0.0435,0.0049,0.0647,0.0025,0.5997,0.0031,0.0797,0.001,0.2197,0.0012,0.0463,0.0039,0.6335,0.0024,35,0.0867
proposed_side_effect_preference_model,unseen_side_effect,5,0.5952,0.019,0.0446,0.0051,0.0657,0.0023,0.6061,0.0031,0.0806,0.0015,0.2197,0.0012,0.0453,0.0039,0.6348,0.0027,35,0.1051
proposed_side_effect_preference_model,unseen_side_effect,6,0.5901,0.0162,0.0442,0.0049,0.0634,0.0019,0.6038,0.0041,0.0801,0.0011,0.2197,0.0012,0.0451,0.0037,0.6361,0.0031,35,0.0983
proposed_side_effect_preference_model,combined_stress,0,0.5983,0.0171,0.0478,0.0056,0.0672,0.0025,0.6012,0.0032,0.0852,0.0014,0.2277,0.0014,0.0459,0.0042,0.6254,0.0026,35,0.0633
proposed_side_effect_preference_model,combined_stress,1,0.5895,0.0189,0.0472,0.0054,0.0673,0.0024,0.6022,0.0035,0.0844,0.0012,0.2277,0.0014,0.0469,0.0042,0.6242,0.0022,35,0.0789
proposed_side_effect_preference_model,combined_stress,2,0.5782,0.0182,0.0496,0.0057,0.067,0.0026,0.6009,0.0033,0.0861,0.0014,0.2277,0.0014,0.0466,0.0038,0.6248,0.003,35,0.0878
proposed_side_effect_preference_model,combined_stress,3,0.5806,0.0158,0.0491,0.0061,0.0679,0.0028,0.6023,0.0031,0.0861,0.0013,0.2277,0.0014,0.047,0.0045,0.6251,0.0027,35,0.0983
proposed_side_effect_preference_model,combined_stress,4,0.5677,0.0195,0.0478,0.0056,0.0665,0.0018,0.6008,0.0039,0.085,0.001,0.2277,0.0014,0.0476,0.0038,0.6276,0.0024,35,0.1003
proposed_side_effect_preference_model,combined_stress,5,0.5786,0.0179,0.0477,0.0059,0.0667,0.0028,0.5999,0.0034,0.084,0.0011,0.2277,0.0014,0.0473,0.0041,0.6262,0.0023,35,0.1109
proposed_side_effect_preference_model,combined_stress,6,0.5755,0.023,0.0483,0.0057,0.067,0.0022,0.6026,0.0024,0.0846,0.0008,0.2277,0.0014,0.0487,0.004,0.6254,0.002,35,0.0976
oracle_side_effect_preference_judge,nominal,0,0.7412,0.016,0.011,0.0017,0.0527,0.0014,0.7154,0.0033,0.0456,0.0014,0.1773,0.0008,0.0283,0.0016,0.7296,0.0029,35,0.0
oracle_side_effect_preference_judge,nominal,1,0.7344,0.0177,0.0099,0.0021,0.0533,0.0013,0.7128,0.0028,0.0453,0.0014,0.1773,0.0008,0.0299,0.0016,0.7322,0.0026,35,0.0
oracle_side_effect_preference_judge,nominal,2,0.7578,0.0113,0.0112,0.0018,0.0541,0.0011,0.7087,0.0033,0.0449,0.0012,0.1773,0.0008,0.0298,0.0013,0.732,0.0025,35,0.0
oracle_side_effect_preference_judge,nominal,3,0.7299,0.0153,0.0096,0.0017,0.0521,0.0015,0.7119,0.0026,0.0454,0.0015,0.1773,0.0008,0.028,0.0015,0.7306,0.0023,35,0.0
oracle_side_effect_preference_judge,nominal,4,0.7486,0.0199,0.0104,0.0022,0.0544,0.0012,0.7162,0.003,0.0453,0.0013,0.1773,0.0008,0.0296,0.0017,0.7326,0.0027,35,0.0
oracle_side_effect_preference_judge,nominal,5,0.7466,0.0177,0.0102,0.002,0.0545,0.0016,0.7137,0.0025,0.0451,0.0013,0.1773,0.0008,0.0293,0.0013,0.7322,0.0029,35,0.0
oracle_side_effect_preference_judge,nominal,6,0.7418,0.0179,0.0118,0.002,0.0531,0.0012,0.7166,0.0038,0.0454,0.0014,0.1773,0.0008,0.0283,0.0016,0.7312,0.0025,35,0.0
oracle_side_effect_preference_judge,seen_shift,0,0.7299,0.0178,0.0131,0.0018,0.0543,0.0013,0.702,0.0038,0.0511,0.0016,0.1875,0.001,0.031,0.0019,0.7212,0.0027,35,0.0
oracle_side_effect_preference_judge,seen_shift,1,0.7116,0.0154,0.0125,0.0019,0.0543,0.0013,0.7024,0.0034,0.0527,0.0012,0.1875,0.001,0.0303,0.0019,0.7199,0.0027,35,0.0
oracle_side_effect_preference_judge,seen_shift,2,0.7105,0.0142,0.0119,0.002,0.0547,0.0014,0.6983,0.0037,0.0515,0.0012,0.1875,0.001,0.0301,0.0015,0.7221,0.0029,35,0.0
oracle_side_effect_preference_judge,seen_shift,3,0.7102,0.0164,0.0118,0.0021,0.0542,0.0016,0.7,0.003,0.0504,0.0014,0.1875,0.001,0.0293,0.0021,0.7185,0.0025,35,0.0
oracle_side_effect_preference_judge,seen_shift,4,0.7255,0.0175,0.0133,0.0019,0.054,0.0012,0.6963,0.0033,0.0524,0.0014,0.1875,0.001,0.0306,0.0018,0.7175,0.003,35,0.0
oracle_side_effect_preference_judge,seen_shift,5,0.7163,0.0163,0.0125,0.0019,0.055,0.0015,0.7032,0.003,0.0519,0.0015,0.1875,0.001,0.0293,0.0019,0.7203,0.0029,35,0.0
oracle_side_effect_preference_judge,seen_shift,6,0.7156,0.0175,0.0128,0.0018,0.0547,0.0016,0.7002,0.0032,0.0517,0.0012,0.1875,0.001,0.0308,0.0014,0.7185,0.0027,35,0.0
oracle_side_effect_preference_judge,unseen_object,0,0.6922,0.0157,0.0127,0.0022,0.055,0.0014,0.6933,0.0038,0.0546,0.0015,0.1926,0.0011,0.0309,0.0017,0.7127,0.0029,35,0.0
oracle_side_effect_preference_judge,unseen_object,1,0.7126,0.0176,0.0141,0.0021,0.0541,0.0012,0.6927,0.0032,0.0548,0.0013,0.1926,0.0011,0.0323,0.0016,0.7171,0.0026,35,0.0
oracle_side_effect_preference_judge,unseen_object,2,0.7044,0.0206,0.0158,0.0022,0.0547,0.0016,0.6941,0.0037,0.0535,0.0014,0.1926,0.0011,0.0315,0.0017,0.7145,0.0029,35,0.0
oracle_side_effect_preference_judge,unseen_object,3,0.7092,0.0178,0.0146,0.0017,0.0559,0.0015,0.6955,0.0028,0.054,0.0014,0.1926,0.0011,0.031,0.0015,0.7135,0.0028,35,0.0
oracle_side_effect_preference_judge,unseen_object,4,0.7184,0.0188,0.013,0.0023,0.0538,0.0015,0.6924,0.0034,0.0553,0.0015,0.1926,0.0011,0.0322,0.0019,0.715,0.0035,35,0.0
oracle_side_effect_preference_judge,unseen_object,5,0.7007,0.0175,0.0149,0.0022,0.0538,0.0013,0.6947,0.0027,0.0535,0.0013,0.1926,0.0011,0.0312,0.0014,0.7155,0.0022,35,0.0
oracle_side_effect_preference_judge,unseen_object,6,0.6956,0.0191,0.0145,0.0021,0.0558,0.0016,0.693,0.0041,0.053,0.0015,0.1926,0.0011,0.0312,0.0019,0.7158,0.0033,35,0.0
oracle_side_effect_preference_judge,unseen_side_effect,0,0.6769,0.016,0.0162,0.0023,0.055,0.0013,0.6714,0.003,0.056,0.0011,0.197,0.0012,0.0331,0.0018,0.7104,0.0023,35,0.0
oracle_side_effect_preference_judge,unseen_side_effect,1,0.6779,0.0163,0.0151,0.0024,0.0546,0.0017,0.6712,0.0037,0.0559,0.0013,0.197,0.0012,0.0318,0.0021,0.7068,0.0024,35,0.0
oracle_side_effect_preference_judge,unseen_side_effect,2,0.6986,0.0155,0.0162,0.0021,0.0558,0.002,0.6668,0.004,0.0558,0.0013,0.197,0.0012,0.0332,0.0018,0.7107,0.0024,35,0.0
oracle_side_effect_preference_judge,unseen_side_effect,3,0.6867,0.0204,0.016,0.0026,0.0552,0.0019,0.6731,0.0031,0.0571,0.001,0.197,0.0012,0.0321,0.002,0.7114,0.0022,35,0.0
oracle_side_effect_preference_judge,unseen_side_effect,4,0.6942,0.0171,0.0152,0.0024,0.0559,0.0017,0.6716,0.003,0.0564,0.0017,0.197,0.0012,0.0341,0.0019,0.7098,0.0024,35,0.0
oracle_side_effect_preference_judge,unseen_side_effect,5,0.7003,0.014,0.0146,0.0023,0.0547,0.0015,0.6723,0.0031,0.0553,0.0014,0.197,0.0012,0.0335,0.0022,0.7076,0.0026,35,0.0
oracle_side_effect_preference_judge,unseen_side_effect,6,0.6884,0.0202,0.0146,0.0026,0.0555,0.0015,0.6699,0.0025,0.0562,0.0014,0.197,0.0012,0.032,0.0019,0.7118,0.0024,35,0.0
oracle_side_effect_preference_judge,combined_stress,0,0.6616,0.0153,0.0163,0.0025,0.0542,0.0016,0.6726,0.0033,0.0616,0.0014,0.205,0.0014,0.0331,0.0018,0.7015,0.0025,35,0.0
oracle_side_effect_preference_judge,combined_stress,1,0.6684,0.0168,0.0162,0.0022,0.0548,0.0013,0.6702,0.0033,0.0618,0.0017,0.205,0.0014,0.0335,0.0021,0.7046,0.0028,35,0.0
oracle_side_effect_preference_judge,combined_stress,2,0.666,0.0173,0.0165,0.0022,0.0558,0.0015,0.6726,0.0035,0.0597,0.0012,0.205,0.0014,0.0337,0.002,0.7,0.0025,35,0.0
oracle_side_effect_preference_judge,combined_stress,3,0.6789,0.0136,0.0168,0.002,0.0557,0.0013,0.6701,0.0033,0.0612,0.0012,0.205,0.0014,0.0322,0.002,0.7001,0.0026,35,0.0
oracle_side_effect_preference_judge,combined_stress,4,0.668,0.0188,0.0159,0.0025,0.0561,0.0013,0.6731,0.0028,0.0615,0.0013,0.205,0.0014,0.0323,0.0017,0.6971,0.0021,35,0.0
oracle_side_effect_preference_judge,combined_stress,5,0.6895,0.0163,0.016,0.0027,0.0554,0.0016,0.6711,0.0041,0.0619,0.0016,0.205,0.0014,0.034,0.0021,0.7003,0.0022,35,0.0
oracle_side_effect_preference_judge,combined_stress,6,0.6731,0.0174,0.0176,0.0025,0.0564,0.0017,0.6712,0.0032,0.0602,0.0011,0.205,0.0014,0.0335,0.0019,0.6995,0.0025,35,0.0
